pair_id,modality,case_id,slice_id,path_a,path_b,size_a,size_b,sha256_a,sha256_b
2004,CT-MRI,2,4,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2004.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2004.png,256x256,256x256,b55a4a95b6c52efc,adccc9ce049ede7d
2005,CT-MRI,2,5,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2005.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2005.png,256x256,256x256,648b8f2e78ac5fe2,dc65d47ae0066d56
2006,CT-MRI,2,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2006.png,256x256,256x256,dfbc639819e1b30e,ab64e68cbac1d639
2007,CT-MRI,2,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2007.png,256x256,256x256,7cc6b367dded56c2,9d68353e0daf9dc7
2008,CT-MRI,2,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2008.png,256x256,256x256,818c47b67654112c,56cc73d37ac7140c
2009,CT-MRI,2,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2009.png,256x256,256x256,0ae5b3a602b93441,149e6a0cd6aea9ac
2010,CT-MRI,2,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2010.png,256x256,256x256,c09caf8d58a9f276,fa9018510cfb08ff
2011,CT-MRI,2,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2011.png,256x256,256x256,d93c2fc6debbcc5a,b437641eeb745e47
2012,CT-MRI,2,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2012.png,256x256,256x256,9f0ab37ebe7b03c0,15f5ee467898bc43
2013,CT-MRI,2,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2013.png,256x256,256x256,12ba734a270fd8d7,ef03b0e9f72b1aed
